filename,label
0_00.csv,0
0_01.csv,0
0_02.csv,0
0_03.csv,0
0_04.csv,0
0_05.csv,0
0_06.csv,0
0_07.csv,0
0_08.csv,0
0_09.csv,0
1_00.csv,1
1_01.csv,1
1_02.csv,1
1_03.csv,1
1_04.csv,1
1_05.csv,1
1_06.csv,1
1_07.csv,1
1_08.csv,1
1_09.csv,1
2_00.csv,2
2_01.csv,2
2_02.csv,2
2_03.csv,2
2_04.csv,2
2_05.csv,2
2_06.csv,2
2_07.csv,2
2_08.csv,2
2_09.csv,2
3_00.csv,3
3_01.csv,3
3_02.csv,3
3_03.csv,3
3_04.csv,3
3_05.csv,3
3_06.csv,3
3_07.csv,3
3_08.csv,3
3_09.csv,3
4_00.csv,4
4_01.csv,4
4_02.csv,4
4_03.csv,4
4_04.csv,4
4_05.csv,4
4_06.csv,4
4_07.csv,4
4_08.csv,4
4_09.csv,4
5_00.csv,5
5_01.csv,5
5_02.csv,5
5_03.csv,5
5_04.csv,5
5_05.csv,5
5_06.csv,5
5_07.csv,5
5_08.csv,5
5_09.csv,5
6_00.csv,6
6_01.csv,6
6_02.csv,6
6_03.csv,6
6_04.csv,6
6_05.csv,6
6_06.csv,6
6_07.csv,6
6_08.csv,6
6_09.csv,6
7_00.csv,7
7_01.csv,7
7_02.csv,7
7_03.csv,7
7_04.csv,7
7_05.csv,7
7_06.csv,7
7_07.csv,7
7_08.csv,7
7_09.csv,7
8_00.csv,8
8_01.csv,8
8_02.csv,8
8_03.csv,8
8_04.csv,8
8_05.csv,8
8_06.csv,8
8_07.csv,8
8_08.csv,8
8_09.csv,8
9_00.csv,9
9_01.csv,9
9_02.csv,9
9_03.csv,9
9_04.csv,9
9_05.csv,9
9_06.csv,9
9_07.csv,9
9_08.csv,9
9_09.csv,9
